sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
131806.49+404702.5,199.5270826,40.78405449,102.6912336,75.2787839,-23.01593496,0.822742283,-1,-1,-1
215346.14+052114.9,328.4422615,5.354162272,63.23965946,-36.18275858,-27.20949974,2.27715373,3031.789748,2627.325915,2151.543715
120408.39+331811.4,181.0349886,33.30317545,178.9013437,78.07362353,-25.92264227,2.567795992,5264.716049,7230.391798,-1
221449.77+141728.1,333.707383,14.2911651,75.5185098,-33.79645006,-23.38966283,0.766702533,-1,-1,-1
075248.92+465541.3,118.2038717,46.92815402,172.1683846,29.59907282,-25.80264816,2.891167164,4420.085356,5998.909749,-1
145451.86+344205.2,223.7161184,34.70146006,56.60437936,62.58683318,-24.37031578,2.266733646,2790.433693,13371.2393,2357.244484
131013.75-022249.7,197.5573135,-2.380475034,312.3934061,60.14561397,-24.47702882,2.483516455,3704.622107,-1,-1
155557.58+122551.5,238.9899243,12.43098916,23.49505605,44.46516005,-24.72959096,2.162744522,4321.392625,9367.929819,2987.123869
124310.22+340353.5,190.7925929,34.06486949,136.8000816,82.83942039,-26.51728929,2.52182579,4303.991866,5716.125104,-1
154036.43+234248.9,235.1517918,23.71360815,37.48854865,51.82607179,-26.2517501,2.263653517,5519.180622,7219.375853,4049.53366
100036.98+441958.2,150.1540948,44.33283918,174.6951147,51.85594268,-25.23330964,2.402628183,-1,-1,-1
114542.35-020811.8,176.4264987,-2.136615076,271.918348,56.72424487,-25.56472453,2.407947779,4762.730562,6507.216403,-1
111739.64+353148.6,169.4151709,35.53018322,184.301967,68.35328484,-25.04973032,3.276807785,3149.935266,-1,-1
213428.71+043612.3,323.6196343,4.603431512,58.92806365,-32.86058859,-26.32611625,2.806215048,5119.435538,7022.074764,-1
151423.09+003009.5,228.5962285,0.502663183,1.118871559,46.58409701,-25.26667276,2.569684505,4486.33171,6078.14256,-1
144929.18+315420.3,222.3716088,31.90564924,50.63812861,63.96121131,-25.00102439,2.372920513,2713.694007,5436.176471,-1
101722.79+074400.8,154.3449596,7.733570179,233.6817447,48.71161916,-25.78504179,3.174295664,6559.422371,10093.81695,-1
161039.92+341224.2,242.6663666,34.20672662,55.06634783,47.00017879,-23.69789074,0.798217475,-1,-1,-1
081216.96+121514.6,123.0706857,12.25407306,210.7491886,23.40640122,-25.53522517,2.361693382,4491.608601,9054.717044,5697.230612
121502.11-010832.2,183.7588146,-1.142295895,284.2578852,60.40290443,-27.71256568,2.351813793,5648.963309,5595.774581,4554.373059
110853.75+392411.4,167.2239921,39.40319362,176.4414495,65.42883534,-23.91430439,2.272375584,3886.238137,14678.41582,7347.87961
171523.84+371211.4,258.849343,37.20318327,61.14539135,34.3430398,-26.27482888,2.359586239,4460.089119,10316.16268,3977.757999
160911.63+180615.9,242.2984818,18.10443987,32.51430941,43.77011591,-24.72692323,2.185671091,3125.667365,8160.246934,4788.136902
225349.20+000048.9,343.455008,0.013587757,71.92289792,-50.82567677,-25.85601055,2.825147152,4320.549411,6115.302443,-1
150649.32+041742.9,226.7055221,4.295262646,3.685640315,50.46569147,-25.76723818,2.249246836,-1,4634.431469,3124.81762
075916.55+443840.3,119.8189967,44.64455183,174.9804426,30.33979526,-23.91600982,1.298693061,-1,9148.447,2680.230249
