ra,dec,longitud,latitud,u,g,r,i
145.56280774,0.74197624,234.98650037,37.54951717,24.584858,23.540819,22.199047,21.254183
145.5659843,0.76769277,234.9620012,37.56667111,24.132362,22.485342,21.280602,22.050514
145.56669124,0.73542482,234.99608589,37.54901744,26.275848,23.198915,22.718546,22.139832
145.56718741,0.7709191,234.95950053,37.56948593,26.601637,21.973305,21.556503,22.457291
145.56743479,0.75457911,234.97668434,37.56045727,27.422787,23.259918,21.65584,20.722513
145.56698871,0.75413965,234.97682398,37.55984094,27.462189,23.99877,20.904924,20.205547
145.56950235,0.76241454,234.97000349,37.56659089,25.657356,24.341721,22.413294,22.541407
145.57068983,0.73912581,234.99508613,37.55440774,26.215513,22.993687,22.087076,21.981743
145.57120403,0.74753332,234.98670393,37.55958429,22.666676,22.746038,21.347122,21.164141
145.57186609,0.68318525,235.05410656,37.52373975,22.177866,23.432693,21.658989,20.99703
145.57523714,0.75808216,234.97860114,37.56887322,22.610498,23.282814,21.920675,21.065073
145.57665645,0.72946388,235.00939361,37.55386619,23.843061,22.744326,21.55686,21.258163
145.57717646,0.75898217,234.979047,37.57098174,27.302023,22.977959,20.600817,19.928638
145.57753917,0.74180599,234.99718068,37.56157193,26.952177,23.161119,22.118589,22.452496
145.57901695,0.68766113,235.05455483,37.53216788,25.848278,23.694532,22.760521,21.704617
145.58253842,0.63987571,235.10673458,37.50802198,25.621557,21.799128,21.627653,20.418097
145.58295535,0.79803174,234.94250927,37.59781261,22.939798,22.871809,22.455498,22.502052
145.58480881,0.77363996,234.96923017,37.58556078,25.865435,22.451405,21.055309,21.907677
145.58532263,0.73277215,235.01213221,37.56288418,22.295212,23.609056,21.677814,20.997108
145.58637604,0.77469762,234.96924637,37.58745183,24.632662,24.333128,22.950361,21.897247
145.58657837,0.78643188,234.95717234,37.59424854,23.501789,24.24976,21.604816,22.065191
145.58690012,0.70838403,235.0386283,37.55039146,24.655819,23.416193,22.671972,22.279747
145.58759541,0.79856111,234.94526535,37.60194017,22.441982,22.87645,22.679653,22.015072
145.5882357,0.75492015,234.99116124,37.57780823,22.757725,23.010479,21.286142,21.176414
145.58902951,0.72777624,235.01997434,37.56311552,23.812275,22.747232,23.077486,21.872892
145.58970583,0.7470108,235.00044151,37.5745495,24.872263,22.826567,21.880247,21.108967
145.58968795,0.69257104,235.0570634,37.54374372,25.227493,22.740742,22.529316,22.423388
145.59089654,0.70957917,235.04023649,37.55436282,26.456221,23.662422,22.48469,21.828754
145.59405766,0.70030014,235.05214346,37.55171966,26.261629,23.71722,22.793949,20.672644
145.59748226,0.75875769,234.9937615,37.58760388,26.232517,23.74231,22.501087,21.637094
145.59766574,0.68319834,235.07250285,37.54501645,22.111425,24.145933,22.648342,23.04541
145.60066989,0.7767086,234.97734559,37.60037981,22.548252,23.918854,21.602974,21.474958
145.60217556,0.76876434,234.98669148,37.59713209,26.5888,23.396025,21.518141,20.891815
145.60309101,0.76131402,234.99510104,37.59367594,24.66305,23.665657,22.291265,21.60537
145.60592161,0.73222807,235.02739444,37.5795634,21.410093,22.836636,21.1066,21.070087
145.60694422,0.74283056,235.01709011,37.58640342,26.842199,22.278101,21.052935,20.391975
145.60839518,0.74371474,235.01720509,37.5880995,25.725929,23.564285,22.098644,22.643404
145.60850695,0.82392357,234.93375201,37.63351947,26.473501,24.228725,21.655239,21.578934
145.6085092,0.75970659,235.00064051,37.5972359,19.282766,21.898813,21.839075,21.858301
145.82995864,0.69515084,235.22628401,37.74317797,24.332668,20.361897,19.040823,18.3988
145.83375459,0.69508701,235.22907302,37.74626716,21.66308,19.999168,19.05155,18.65727
145.84293304,0.74786868,235.18066393,37.78375895,20.207607,18.982506,17.931133,17.368744
145.84304803,0.74484924,235.18389331,37.78214236,22.978956,22.673744,21.87841,21.308994
145.84651144,0.6668656,235.26761323,37.74075562,25.359865,21.596937,19.890022,19.315968
145.8456498,0.66888806,235.26488951,37.74119371,21.868605,22.526247,21.194664,21.311354
145.77402364,0.73662347,235.14299407,37.72061577,23.387827,22.381596,20.863928,20.325558
145.80096223,0.65367376,235.24866413,37.69576883,24.539143,21.48855,19.994564,19.481903
145.8303821,0.62959934,235.2948201,37.70631995,25.820068,22.854025,22.46715,23.088102
145.76817594,0.72402895,235.15192475,37.70866197,22.117933,21.927242,21.076077,20.620499
145.80506564,0.6402674,235.26555629,37.69153783,22.081888,21.595547,20.747219,21.084499
145.80603434,0.63928205,235.2672757,37.69177609,26.043873,22.917398,22.074013,22.464487
145.81184771,0.73445877,235.17235068,37.75055084,21.306658,20.721592,19.973087,19.818882
145.81050617,0.73488918,235.17094057,37.74968987,23.658867,23.434092,22.948009,22.922363
145.81803655,0.73627232,235.17489735,37.75667696,22.538219,21.295982,20.757526,20.510921
145.81922421,0.69383628,235.21995313,37.73359224,20.30599,19.645411,18.990992,18.731848
145.81655291,0.6935191,235.21836764,37.73121316,22.893827,22.690741,22.069906,22.111
145.82056981,0.65424167,235.26213743,37.71223341,26.257334,22.717512,22.119221,21.509874
145.82625058,0.65831377,235.26197507,37.71922163,22.800196,22.988243,21.730976,21.096188
145.83157932,0.66671376,235.25705506,37.72837633,22.344576,21.696335,21.181522,20.795568
145.70484373,0.77136912,235.0572946,37.68327045,21.95557,21.547554,20.724855,20.452665
145.70496343,0.72903903,235.10146757,37.65940981,24.786987,24.344582,22.987144,22.760683
145.70556399,0.65779443,235.17603561,37.61954183,25.79977,22.999062,22.716873,22.232929
145.70850208,0.69891371,235.13535815,37.6452641,24.643637,21.668093,20.816408,21.175831
145.70894145,0.77922273,235.05204126,37.6910926,24.602272,21.496815,20.514666,20.909021
145.7101443,0.71689634,235.11781464,37.65680335,22.72175,21.777798,21.264631,21.114744
145.71291178,0.67083895,235.16772533,37.63298829,22.542049,22.241961,21.208166,20.82328
145.71362689,0.76258294,235.07272821,37.68553994,24.598557,22.725805,21.624914,20.492138
145.7134427,0.64246151,235.19762051,37.61733768,22.787645,22.850113,21.711763,21.157389
145.71378694,0.64364349,235.19663774,37.61829189,25.2488,22.577988,21.610699,21.377258
145.71373773,0.77828445,235.05644779,37.69451629,24.749571,22.908617,21.686333,21.079647
145.71773423,0.63298457,235.21054683,37.61549777,23.494234,22.56097,21.348509,21.16046
145.72107767,0.63696442,235.20880207,37.6205085,22.460249,21.917809,20.703531,20.1359
145.72251842,0.75721061,235.0846839,37.6898284,24.308767,22.47337,22.408499,21.355547
145.72321168,0.77037297,235.07146619,37.69784972,26.137587,22.720745,21.485168,21.275875
145.72374933,0.67606802,235.17004189,37.64488035,24.18926,23.074751,22.684692,23.167093
145.72669909,0.66655072,235.18205526,37.64191506,23.379143,22.032879,21.696276,22.259298
145.73150351,0.71726534,235.1327134,37.67461311,22.268845,21.720177,20.203814,19.764408
145.73157994,0.75344803,235.09508533,37.69516752,26.766834,22.272741,21.306717,20.888409
