ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
194.735868,27.821985,18.518,17.349,16.675,16.353,16.172,0.02905,8715.0,14.9325,galaxia
194.740101,27.785426,17.928,16.441,15.74,15.37,15.163,0.02315,6945.0,16.2621,galaxia
194.747813,27.934522,18.944,17.596,16.881,16.494,16.262,0.01918,5754.0,11.2154,galaxia
194.754064,27.889563,18.882,16.732,15.876,15.606,15.461,,,11.8709,estrella
194.758507,27.872477,19.374,17.033,15.938,15.51,15.27,,,12.1766,estrella
194.759532,27.796276,17.598,16.495,16.066,15.924,15.886,,,15.0807,estrella
194.763645,27.723577,20.76,18.412,17.339,16.93,16.674,,,18.3998,estrella
194.763911,27.955957,19.868,17.876,17.125,16.852,16.737,,,10.124,estrella
194.767307,27.959141,18.542,16.832,16.039,15.657,15.391,0.02346,7038.000000000001,9.9193,galaxia
194.769324,27.910979,17.755,16.112,15.351,14.969,14.708,0.02136,6408.0,10.5887,galaxia
194.769418,27.791819,19.532,18.316,17.716,17.307,17.119,0.08465,25395.0,14.9311,galaxia
194.778525,27.772455,18.828,17.227,16.506,16.148,16.094,0.02083,6249.0,15.5387,galaxia
194.781212,27.767765,17.353,15.522,14.732,14.341,14.091,0.02122,6366.0,15.6826,galaxia
194.783101,27.854962,17.094,15.33,14.509,14.076,13.761,0.02193,6579.000000000001,11.7406,galaxia
194.784166,27.784118,16.821,14.921,14.093,13.677,13.398,0.02345,7035.0,14.799,galaxia
194.785399,27.96445,15.951,32.306,16.779,31.399,30.645,,,8.9293,galaxia
194.787813,27.897552,19.003,17.834,17.077,16.682,16.426,0.02615,7845.0,10.0694,galaxia
194.790166,27.867393,18.797,17.157,16.39,16.019,15.756,0.02306,6918.0,10.9793,galaxia
194.806238,27.774592,17.223,15.298,14.521,14.127,13.895,0.02277,6831.0,14.6025,galaxia
194.807191,27.850949,17.432,16.246,15.83,15.696,15.668,,,10.962,estrella
194.809243,27.954154,14.86,33.748,16.821,33.625,31.435,,,7.7767,galaxia
194.809989,27.884049,17.686,16.808,16.543,16.467,16.463,,,9.5359,estrella
194.81092,27.895591,19.771,18.305,17.515,17.168,16.923,0.02138,6414.0,9.0908,galaxia
